Category,category_id,Subcategory,subcategory_id,amount,year
議会費,01,議会費,0100,699966000,2009
総務費,02,総務管理費,0201,11837379000,2009
総務費,02,徴税費,0202,1088929000,2009
総務費,02,戸籍住民基本台帳費,0203,825333000,2009
総務費,02,選挙費,0204,224554000,2009
総務費,02,統計調査費,0205,55916000,2009
総務費,02,監査委員費,0206,83376000,2009
民生費,03,社会福祉費,0301,9989672000,2009
民生費,03,老人福祉費,0302,5649315000,2009
民生費,03,児童福祉費,0303,14704258000,2009
民生費,03,生活保護費,0304,15781143000,2009
民生費,03,災害救助費,0305,0,2009
衛生費,04,保健衛生費,0401,3279394000,2009
衛生費,04,結核対策費,0402,30000,2009
衛生費,04,保健所費,0403,0,2009
衛生費,04,清掃費,0404,4339686000,2009
労働費,05,失業対策費,0501,0,2009
労働費,05,労働諸費,0502,216042000,2009
農林水産業費,06,農業費,0601,33090000,2009
農林水産業費,06,畜産業費,0602,416000,2009
農林水産業費,06,農地費,0603,0,2009
農林水産業費,06,林業費,0604,120000,2009
農林水産業費,06,水産業費,0605,67184000,2009
商工費,07,商工費,0700,5827061000,2009
土木費,08,土木管理費,0801,372302000,2009
土木費,08,道路橋りょう費,0802,1190319000,2009
土木費,08,河川費,0803,190856000,2009
土木費,08,港湾費,0804,547798000,2009
土木費,08,都市計画費,0805,9871707000,2009
土木費,08,住宅費,0806,5164862000,2009
土木費,08,空港費,0807,0,2009
消防費,09,消防費,0900,2523960000,2009
教育費,10,教育総務費,1001,1726885000,2009
教育費,10,小学校費,1002,3080536000,2009
教育費,10,中学校費,1003,1726423000,2009
教育費,10,高等学校費,1004,0,2009
教育費,10,特殊学校費,1005,0,2009
教育費,10,幼稚園費,1006,1120966000,2009
教育費,10,社会教育費,1007,1622767000,2009
教育費,10,保健体育費,1008,5024444000,2009
教育費,10,大学費,1009,0,2009
災害復旧費,11,農林水産施設,1101,0,2009
災害復旧費,11,公共土木施設,1102,0,2009
災害復旧費,11,その他,1103,0,2009
公債費,12,公債費,1200,11671402000,2009
諸支出金,13,普通財産取得費,1301,55495000,2009
諸支出金,13,公営企業費,1302,0,2009
諸支出金,13,市町村たばこ税都道府県交付金,1303,0,2009
前年度繰上充用金,14,前年度繰上充用金,1400,0,2009
