Category,category_id,Subcategory,subcategory_id,amount,year
議会費,01,議会費,0100,229542000,2006
総務費,02,総務管理費,0201,2186582000,2006
総務費,02,徴税費,0202,222114000,2006
総務費,02,戸籍住民基本台帳費,0203,71801000,2006
総務費,02,選挙費,0204,64813000,2006
総務費,02,統計調査費,0205,8423000,2006
総務費,02,監査委員費,0206,28785000,2006
民生費,03,社会福祉費,0301,1245963000,2006
民生費,03,老人福祉費,0302,757938000,2006
民生費,03,児童福祉費,0303,1972448000,2006
民生費,03,生活保護費,0304,1274659000,2006
民生費,03,災害救助費,0305,4855000,2006
衛生費,04,保健衛生費,0401,578594000,2006
衛生費,04,結核対策費,0402,11670000,2006
衛生費,04,保健所費,0403,0,2006
衛生費,04,清掃費,0404,653128000,2006
労働費,05,失業対策費,0501,0,2006
労働費,05,労働諸費,0502,13177000,2006
農林水産業費,06,農業費,0601,302988000,2006
農林水産業費,06,畜産業費,0602,89770000,2006
農林水産業費,06,農地費,0603,1214060000,2006
農林水産業費,06,林業費,0604,124418000,2006
農林水産業費,06,水産業費,0605,167174000,2006
商工費,07,商工費,0700,235909000,2006
土木費,08,土木管理費,0801,44236000,2006
土木費,08,道路橋りょう費,0802,344122000,2006
土木費,08,河川費,0803,154000,2006
土木費,08,港湾費,0804,735044000,2006
土木費,08,都市計画費,0805,2425378000,2006
土木費,08,住宅費,0806,106674000,2006
土木費,08,空港費,0807,137148000,2006
消防費,09,消防費,0900,456510000,2006
教育費,10,教育総務費,1001,434705000,2006
教育費,10,小学校費,1002,930859000,2006
教育費,10,中学校費,1003,250845000,2006
教育費,10,高等学校費,1004,0,2006
教育費,10,特殊学校費,1005,0,2006
教育費,10,幼稚園費,1006,394131000,2006
教育費,10,社会教育費,1007,466281000,2006
教育費,10,保健体育費,1008,243654000,2006
教育費,10,大学費,1009,0,2006
災害復旧費,11,農林水産施設,1101,21241000,2006
災害復旧費,11,公共土木施設,1102,80690000,2006
災害復旧費,11,その他,1103,58236000,2006
公債費,12,公債費,1200,2827309000,2006
諸支出金,13,普通財産取得費,1301,0,2006
諸支出金,13,公営企業費,1302,0,2006
諸支出金,13,市町村たばこ税都道府県交付金,1303,0,2006
前年度繰上充用金,14,前年度繰上充用金,1400,0,2006
