Category,category_id,Subcategory,subcategory_id,amount,year
議会費,01,議会費,0100,75422000,2012
総務費,02,総務管理費,0201,1006477000,2012
総務費,02,徴税費,0202,63714000,2012
総務費,02,戸籍住民基本台帳費,0203,23628000,2012
総務費,02,選挙費,0204,10464000,2012
総務費,02,統計調査費,0205,183000,2012
総務費,02,監査委員費,0206,1204000,2012
民生費,03,社会福祉費,0301,390750000,2012
民生費,03,老人福祉費,0302,267687000,2012
民生費,03,児童福祉費,0303,252166000,2012
民生費,03,生活保護費,0304,0,2012
民生費,03,災害救助費,0305,900000,2012
衛生費,04,保健衛生費,0401,205007000,2012
衛生費,04,結核対策費,0402,0,2012
衛生費,04,保健所費,0403,0,2012
衛生費,04,清掃費,0404,125168000,2012
労働費,05,失業対策費,0501,0,2012
労働費,05,労働諸費,0502,0,2012
農林水産業費,06,農業費,0601,122931000,2012
農林水産業費,06,畜産業費,0602,5861000,2012
農林水産業費,06,農地費,0603,59517000,2012
農林水産業費,06,林業費,0604,197231000,2012
農林水産業費,06,水産業費,0605,86934000,2012
商工費,07,商工費,0700,229106000,2012
土木費,08,土木管理費,0801,25361000,2012
土木費,08,道路橋りょう費,0802,464082000,2012
土木費,08,河川費,0803,3705000,2012
土木費,08,港湾費,0804,190000,2012
土木費,08,都市計画費,0805,0,2012
土木費,08,住宅費,0806,4262000,2012
土木費,08,空港費,0807,0,2012
消防費,09,消防費,0900,217080000,2012
教育費,10,教育総務費,1001,73691000,2012
教育費,10,小学校費,1002,99545000,2012
教育費,10,中学校費,1003,47894000,2012
教育費,10,高等学校費,1004,0,2012
教育費,10,特殊学校費,1005,0,2012
教育費,10,幼稚園費,1006,30006000,2012
教育費,10,社会教育費,1007,82651000,2012
教育費,10,保健体育費,1008,643286000,2012
教育費,10,大学費,1009,0,2012
災害復旧費,11,農林水産施設,1101,21207000,2012
災害復旧費,11,公共土木施設,1102,23037000,2012
災害復旧費,11,その他,1103,0,2012
公債費,12,公債費,1200,649486000,2012
諸支出金,13,普通財産取得費,1301,0,2012
諸支出金,13,公営企業費,1302,0,2012
諸支出金,13,市町村たばこ税都道府県交付金,1303,0,2012
前年度繰上充用金,14,前年度繰上充用金,1400,0,2012
