Category,category_id,Subcategory,subcategory_id,amount,year
議会費,01,議会費,0100,118130000,2012
総務費,02,総務管理費,0201,1842510000,2012
総務費,02,徴税費,0202,108461000,2012
総務費,02,戸籍住民基本台帳費,0203,46531000,2012
総務費,02,選挙費,0204,25878000,2012
総務費,02,統計調査費,0205,749000,2012
総務費,02,監査委員費,0206,2087000,2012
民生費,03,社会福祉費,0301,931141000,2012
民生費,03,老人福祉費,0302,412876000,2012
民生費,03,児童福祉費,0303,724453000,2012
民生費,03,生活保護費,0304,0,2012
民生費,03,災害救助費,0305,573000,2012
衛生費,04,保健衛生費,0401,260143000,2012
衛生費,04,結核対策費,0402,931000,2012
衛生費,04,保健所費,0403,0,2012
衛生費,04,清掃費,0404,254638000,2012
労働費,05,失業対策費,0501,0,2012
労働費,05,労働諸費,0502,3721000,2012
農林水産業費,06,農業費,0601,24556000,2012
農林水産業費,06,畜産業費,0602,817000,2012
農林水産業費,06,農地費,0603,0,2012
農林水産業費,06,林業費,0604,45000,2012
農林水産業費,06,水産業費,0605,7875000,2012
商工費,07,商工費,0700,213372000,2012
土木費,08,土木管理費,0801,57337000,2012
土木費,08,道路橋りょう費,0802,271913000,2012
土木費,08,河川費,0803,0,2012
土木費,08,港湾費,0804,0,2012
土木費,08,都市計画費,0805,170236000,2012
土木費,08,住宅費,0806,1149977000,2012
土木費,08,空港費,0807,0,2012
消防費,09,消防費,0900,253002000,2012
教育費,10,教育総務費,1001,251868000,2012
教育費,10,小学校費,1002,163827000,2012
教育費,10,中学校費,1003,99740000,2012
教育費,10,高等学校費,1004,0,2012
教育費,10,特殊学校費,1005,0,2012
教育費,10,幼稚園費,1006,71116000,2012
教育費,10,社会教育費,1007,262343000,2012
教育費,10,保健体育費,1008,153917000,2012
教育費,10,大学費,1009,0,2012
災害復旧費,11,農林水産施設,1101,76000,2012
災害復旧費,11,公共土木施設,1102,6979000,2012
災害復旧費,11,その他,1103,15823000,2012
公債費,12,公債費,1200,406210000,2012
諸支出金,13,普通財産取得費,1301,0,2012
諸支出金,13,公営企業費,1302,0,2012
諸支出金,13,市町村たばこ税都道府県交付金,1303,0,2012
前年度繰上充用金,14,前年度繰上充用金,1400,0,2012
